имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Hiroshi,Бектуров,1949,Санкт-Петербург,ИП Сидоров,44957,Среднее специальное,нету
Виктор,Эргешов,1948,Нью-Йорк,Нет места работы,62180,Бакалавр,нету
Каныкей,Ниязов,1960,Каракол,MegaCorp,38546,Неполное высшее,нету
Omar,Кузнецов,1995,Чолпон-Ата,MegaCorp,41273,Среднее,нету
Виктор,Кудрявцев,1970,Санкт-Петербург,Нет места работы,90515,Доктор,нету
Артур,Молдокулов,1992,Жалал-Абад,IT Studio,50454,Среднее специальное,нету
Mehmet,Нурматов,1992,Кант,Медцентр,73377,Бакалавр,нету
Нурлан,Павлов,1941,Мехико,АО Техно,107672,Доктор,нету
Андрей,Chen,2001,Москва,ТранспортСервис,48752,Среднее специальное,нету
Мээрим,Chen,1954,Лондон,MegaCorp,43067,Среднее,нету
Isabella,Taylor,2002,Ереван,Салон Красоты,37378,Среднее специальное,нету
Валерия,White,2008,Токио,нет места работы,0,Бакалавр,нету
Juan,Anderson,1988,Чолпон-Ата,Компания А,68035,Магистр,нету
Ксения,Сафонов,1978,Пекин,ООО Строй,39400,Среднее специальное,нету
Ali,Ali,1958,Каракол,Банк,63789,Бакалавр,нету
Максим,Молдокулов,1940,Талас,Нет места работы,37313,Неполное высшее,нету
Асель,Лебедев,1981,Талас,Школа №1,33799,Среднее,нету
Елена,Taylor,1943,Ереван,Банк,46124,Среднее специальное,нету
Жаныбек,Байгазиев,2002,Екатеринбург,GreenFarm,41844,Неполное высшее,нету
Асель,Rahman,1954,Ереван,ООО Строй,61042,Бакалавр,нету
Каныкей,Егоров,1996,Лондон,IT Studio,44612,Среднее специальное,нету
Бегимай,Сатыбалдиев,1997,Токтогул,Фабрика,48560,Неполное высшее,нету
Бакыт,Абдыкадыров,1948,Мехико,Компания А,44153,Среднее специальное,нету
Ali,Rodriguez,2001,Кант,ООО Строй,41450,Неполное высшее,нету
Liu,Harris,1996,Санкт-Петербург,ИП Сидоров,51764,Среднее специальное,нету
Emma,Kim,2000,Москва,ООО Строй,38183,Среднее специальное,нету
Станислав,Попов,1943,Мехико,ТранспортСервис,40721,Среднее,нету
Maria,Сафонов,1988,Москва,GreenFarm,53230,Бакалавр,нету
Ксения,Шаршеев,1978,Мехико,Нет места работы,31675,Среднее,нету
Татьяна,Титов,1969,Кызыл-Кыя,Салон Красоты,70737,Магистр,нету
Алиса,Эргешов,1964,Мадрид,GreenFarm,67881,Бакалавр,нету
Дмитрий,Ali,1990,Токио,Ресторан,43234,Среднее,нету
Yuki,Martinez,2002,Стамбул,MegaCorp,55152,Бакалавр,нету
Ahmed,Титов,1999,Сеул,Нет места работы,74169,Магистр,нету
Noah,Nguyen,1971,Сеул,Нет места работы,44502,Среднее специальное,нету
Emma,Lopez,2004,Токио,Нет места работы,47304,Неполное высшее,нету
Павел,Токтосунов,1975,Санкт-Петербург,Ресторан,55413,Бакалавр,нету
Сергей,Соколов,1942,Мехико,Медцентр,42896,Среднее специальное,нету
Юлия,White,2006,Талас,Нет места работы,43238,Неполное высшее,нету
Ольга,Молдокулов,1994,Алматы,GreenFarm,38044,Среднее,нету
Maria,Воробьев,1975,Токио,GreenFarm,70698,Бакалавр,нету
Juan,Harris,1944,Астана,Компания А,70170,Бакалавр,нету
Juan,Иванов,1986,Чолпон-Ата,Медцентр,62220,Бакалавр,нету
Валерия,Эргешов,1944,Стамбул,Нет места работы,37424,Среднее специальное,нету
Артур,Попов,1992,Ереван,MegaCorp,37843,Среднее специальное,нету
Элина,Patel,1971,Баку,Нет места работы,32923,Среднее специальное,есть
Wei,Кадыров,1968,Екатеринбург,ГК Ромашка,58612,Бакалавр,нету
Lucas,Воробьев,1979,Нарын,Салон Красоты,44298,Неполное высшее,нету
Emma,Смирнов,2007,Санкт-Петербург,Global Tech,27040,Среднее специальное,есть
William,Kim,1955,Новосибирск,Компания А,47337,Среднее специальное,нету
Михаил,Johnson,2000,Алматы,Университет,49337,Среднее специальное,нету
Гульзат,Токтосунов,1952,Токио,Университет,37052,Среднее,нету
Елена,Байгазиев,1941,Жалал-Абад,MegaCorp,39463,Среднее,нету
Hassan,Patel,1948,Бишкек,Global Tech,62467,Бакалавр,нету
Валерия,Ниязов,2002,Астана,Медцентр,34189,Неполное высшее,нету
Дмитрий,Федоров,1976,Токтогул,Университет,40660,Среднее,нету
Айнура,Rahman,1971,Токтогул,Салон Красоты,32046,Среднее специальное,есть
Наталья,Васильев,1983,Лондон,ООО Строй,47018,Среднее специальное,нету
Дмитрий,Шаршеев,1996,Берлин,Нет места работы,46691,Бакалавр,есть
Нурия,Patel,1978,Ош,Нет места работы,61737,Магистр,нету
Lucas,Смирнов,1989,Жалал-Абад,Салон Красоты,67361,Бакалавр,нету
Hassan,Попов,1968,Токио,IT Studio,63430,Бакалавр,нету
Кирилл,Жолдошев,1986,Москва,АО Техно,64322,Бакалавр,нету
Ксения,Абдрахманов,1984,Нарын,Банк,57928,Бакалавр,нету
Robert,Johnson,1971,Берлин,Фабрика,60267,Бакалавр,нету
Juan,Сидоров,1974,Париж,MegaCorp,118746,Доктор,нету
James,Lopez,1961,Пекин,Ресторан,35182,Неполное высшее,нету
Maria,Лебедев,2004,Екатеринбург,Нет места работы,42747,Неполное высшее,нету
Наталья,Smith,1992,Баку,ООО Строй,85731,Магистр,нету
Carlos,Токтосунов,1988,Ереван,АО Техно,31647,Среднее,нету
Айбек,Асанов,1973,Мехико,ООО Строй,37926,Среднее специальное,нету
Бегимай,Кудрявцев,1993,Токтогул,Ресторан,32657,Среднее,нету
Владимир,Rahman,1985,Мехико,IT Studio,44312,Среднее специальное,нету
Каныкей,Смирнов,1947,Лондон,ГК Ромашка,62921,Бакалавр,нету
Софья,Кудрявцев,1951,Стамбул,АО Техно,47531,Неполное высшее,нету
Виктор,Калмурзаев,1950,Кант,Салон Красоты,70643,Магистр,нету
Бакыт,Курманалиев,1953,Санкт-Петербург,Global Tech,40727,Среднее,нету
Юлия,Taylor,1976,Нью-Йорк,GreenFarm,118711,Доктор,нету
Наталья,Кудрявцев,1999,Баку,Салон Красоты,32129,Среднее,нету
Артур,Patel,1964,Екатеринбург,Банк,38377,Неполное высшее,нету
Виктор,Garcia,1993,Бишкек,ГК Ромашка,59151,Бакалавр,нету
Бакыт,Нурматов,1940,Токио,Ферма,34224,Среднее,нету
Гульзат,Байгазиев,1983,Казань,Салон Красоты,40443,Среднее,нету
Екатерина,Егоров,2008,Кант,нет места работы,0,Магистр,нету
Каныкей,Молдокулов,1949,Пекин,Медцентр,42587,Среднее,нету
Каныкей,Ершов,2001,Москва,АО Техно,37467,Среднее,нету
Улан,Wang,1962,Париж,Ресторан,32884,Среднее,нету
Айгерим,Смирнов,1963,Берлин,ООО Строй,55277,Бакалавр,нету
Ahmed,Беляев,1997,Кызыл-Кыя,Университет,47878,Неполное высшее,нету
William,Jackson,1977,Новосибирск,Global Tech,85788,Магистр,нету
Noah,Токтосунов,1989,Баку,IT Studio,109996,Доктор,нету
Светлана,Ali,1977,Кант,Салон Красоты,63473,Бакалавр,нету
Mehmet,Беляев,1991,Новосибирск,Школа №1,51460,Среднее специальное,нету
Нурия,Сафонов,1991,Лондон,Банк,36571,Среднее специальное,нету
Максим,Smith,1955,Мадрид,Нет места работы,62531,Бакалавр,нету
Иван,Ниязов,1971,Жалал-Абад,ООО Строй,32902,Среднее,нету
Марина,Султанов,1952,Астана,Школа №1,32448,Среднее,нету
William,Михайлов,2008,Ош,нет места работы,0,Магистр,нету
Ксения,Gonzalez,2007,Пекин,ТранспортСервис,74789,Бакалавр,нету
Максим,Семенов,1985,Кант,Нет места работы,64813,Бакалавр,нету
Анна,Сатыбалдиев,2002,Кызыл-Кыя,ИП Сидоров,33796,Неполное высшее,нету
Нурзат,Anderson,1941,Астана,ТранспортСервис,37043,Среднее специальное,нету
John,Смирнов,1958,Новосибирск,IT Studio,85871,Магистр,нету
Mehmet,Patel,1956,Каракол,MegaCorp,89616,Магистр,нету
Юлия,Anderson,1952,Токио,Медцентр,53179,Бакалавр,нету
Yuki,Токтосунов,1944,Нарын,GreenFarm,41274,Неполное высшее,нету
Дмитрий,Smith,1957,Париж,Нет места работы,75853,Бакалавр,нету
Ali,Байгазиев,1963,Сеул,ТранспортСервис,88312,Доктор,нету
Hiroshi,Соловьев,1993,Баку,Банк,31826,Среднее,нету
Михаил,Jackson,1968,Алматы,Университет,62172,Доктор,есть
Улан,Орлов,1942,Чолпон-Ата,Школа №1,73779,Бакалавр,нету
Мээрим,Smith,1962,Казань,IT Studio,63557,Бакалавр,нету
Liu,Асанов,1997,Ереван,Банк,37102,Среднее специальное,нету
Кирилл,Martin,1969,Баку,Ферма,32667,Среднее,нету
Lucas,Harris,1962,Стамбул,ООО Строй,27972,Неполное высшее,есть
Азамат,Martinez,1987,Жалал-Абад,IT Studio,39142,Неполное высшее,нету
Жаныбек,Harris,2009,Ош,нет места работы,0,Среднее,нету
Lucas,Киселев,1974,Стамбул,Global Tech,40139,Среднее специальное,нету
Бегимай,Сатыбалдиев,1986,Лондон,ООО Строй,37881,Среднее,нету
Каныкей,Смирнов,1941,Сеул,GreenFarm,52916,Бакалавр,нету
Артур,Семенов,1996,Токио,ООО Строй,41097,Среднее,нету
Hassan,Иванов,1976,Чолпон-Ата,Салон Красоты,42600,Неполное высшее,нету
Бакыт,Сидоров,1954,Ош,Ферма,44268,Среднее,нету
Дарья,Асанов,1963,Бишкек,Ресторан,62641,Магистр,нету
Emma,Егоров,1949,Казань,ООО Строй,57211,Бакалавр,нету
Нурзат,Зайцев,1977,Ош,Школа №1,62907,Магистр,нету
Ольга,White,1955,Ереван,Фабрика,52721,Бакалавр,нету
Наталья,Ali,1986,Бишкек,Школа №1,72033,Бакалавр,нету
Нурия,Brown,1996,Токио,Салон Красоты,89749,Магистр,нету
Каныкей,Эргешов,1951,Алматы,ГК Ромашка,57422,Бакалавр,нету
Сергей,Федоров,1963,Токио,Нет места работы,89648,Магистр,нету
Андрей,Smith,1993,Москва,Банк,48445,Бакалавр,есть
Каныкей,White,1996,Екатеринбург,ТранспортСервис,40871,Неполное высшее,нету
Mehmet,Ниязов,1964,Каракол,Нет места работы,40076,Среднее,нету
Бегимай,Беляев,1990,Токтогул,Global Tech,42822,Неполное высшее,нету
Наталья,Johnson,2010,Сеул,нет места работы,0,Неполное высшее,нету
Ali,Павлов,1980,Сеул,Фабрика,91008,Доктор,нету
Азамат,Gonzalez,1979,Санкт-Петербург,ИП Сидоров,87380,Магистр,нету
Дарья,Jackson,1949,Мехико,Фабрика,53843,Бакалавр,нету
Алексей,Brown,1991,Ереван,АО Техно,42003,Неполное высшее,нету
Ahmed,Иванов,1964,Кант,ИП Сидоров,43475,Среднее,нету
Michael,Васильев,1999,Бишкек,ГК Ромашка,37788,Среднее специальное,нету
Елена,White,1967,Баку,ИП Сидоров,40623,Неполное высшее,нету
Сергей,Исаев,1980,Алматы,Фабрика,51896,Бакалавр,нету
Егор,Hernandez,1948,Берлин,Компания А,58660,Бакалавр,нету
Елена,Johnson,1947,Париж,Медцентр,85554,Магистр,нету
Максим,Гусев,1993,Сеул,IT Studio,48579,Неполное высшее,нету
Егор,Гусев,1972,Мадрид,Ресторан,124578,Доктор,нету
Юлия,Шаршеев,2007,Каракол,Салон Красоты,42926,Среднее,нету
Азамат,Романов,1949,Токио,АО Техно,33398,Среднее,нету
Бегимай,Зайцев,1983,Ереван,Ресторан,34738,Среднее,нету
Егор,Lopez,1976,Новосибирск,ГК Ромашка,48361,Неполное высшее,нету
Жаныбек,Rahman,1980,Бишкек,IT Studio,37786,Среднее специальное,нету
Валерия,Garcia,1953,Мехико,ООО Строй,43420,Неполное высшее,нету
Иван,Lopez,2009,Ереван,нет места работы,0,Магистр,нету
Михаил,Rodriguez,2008,Новосибирск,нет места работы,0,Бакалавр,нету
Гульзат,White,1988,Ош,Школа №1,34108,Среднее,нету
Гульзат,Шаршеев,1976,Алматы,ООО Строй,39301,Неполное высшее,нету
Ahmed,Исаев,1995,Стамбул,Global Tech,45958,Бакалавр,есть
Светлана,Сатыбалдиев,1970,Нарын,Компания А,52784,Бакалавр,нету
Алексей,Hernandez,1967,Алматы,Компания А,39043,Среднее,нету
Isabella,Ali,1997,Кант,GreenFarm,52115,Бакалавр,нету
Чыңгыз,Смирнов,1984,Алматы,Фабрика,73918,Магистр,нету
Светлана,Абдыкадыров,1990,Астана,Банк,34303,Среднее,нету
William,Зайцев,1951,Ереван,Ресторан,36252,Неполное высшее,нету
Omar,Nguyen,1943,Астана,АО Техно,102288,Доктор,нету
Алиса,Васильев,1955,Каракол,GreenFarm,99789,Доктор,нету
Татьяна,Patel,1959,Стамбул,ИП Сидоров,66401,Магистр,нету
Элина,Martinez,2003,Каракол,Ферма,41631,Неполное высшее,нету
Бегимай,Anderson,1955,Новосибирск,Фабрика,31516,Среднее,нету
Улан,Киселев,2003,Лондон,Нет места работы,57245,Бакалавр,нету
Omar,Мамытов,1963,Мехико,Медцентр,51887,Бакалавр,нету
Айбек,Сергеев,1944,Екатеринбург,ТранспортСервис,67370,Бакалавр,нету
Aisha,Новиков,1976,Каракол,GreenFarm,35598,Неполное высшее,нету
Нурия,Кудрявцев,1940,Сеул,MegaCorp,63539,Бакалавр,нету
Ксения,Smith,1977,Берлин,ТранспортСервис,62619,Бакалавр,нету
Ксения,Kim,1952,Новосибирск,GreenFarm,92331,Доктор,нету
Эрмек,Асанов,1953,Токтогул,Ферма,52831,Бакалавр,нету
Сергей,Garcia,1982,Чолпон-Ата,Нет места работы,50758,Среднее специальное,нету
Michael,Ali,1975,Астана,ГК Ромашка,65974,Магистр,нету
Татьяна,Романов,1963,Кызыл-Кыя,ООО Строй,76125,Магистр,нету
Гульзат,Garcia,1947,Стамбул,GreenFarm,71777,Бакалавр,нету
Марина,Исаев,2001,Бишкек,Университет,125234,Доктор,нету
Дарья,Rodriguez,1961,Токтогул,MegaCorp,36383,Неполное высшее,нету
Нурзат,Лебедев,2006,Бишкек,ИП Сидоров,60641,Бакалавр,нету
Софья,Морозов,1997,Пекин,MegaCorp,49373,Среднее специальное,нету
Нурлан,Chen,1940,Чолпон-Ата,ООО Строй,45252,Среднее специальное,нету
Анна,Кудрявцев,1966,Екатеринбург,Банк,34562,Среднее,нету
Каныкей,Султанов,1979,Бишкек,Школа №1,41473,Среднее специальное,нету
Софья,Байгазиев,1981,Лондон,Фабрика,76931,Магистр,нету
Анна,Гусев,2005,Бишкек,ООО Строй,64165,Бакалавр,нету
Гульзат,Козлов,1957,Нью-Йорк,MegaCorp,83024,Магистр,нету
Мээрим,Nguyen,2002,Нью-Йорк,Салон Красоты,49091,Среднее специальное,нету
Анна,Асанов,1970,Чолпон-Ата,Нет места работы,61578,Бакалавр,нету
Mehmet,Козлов,1991,Чолпон-Ата,ИП Сидоров,69049,Бакалавр,нету
Екатерина,Павлов,1982,Москва,Ферма,45380,Бакалавр,есть
Артур,Мамытов,1947,Кызыл-Кыя,Школа №1,49156,Среднее специальное,нету
Валерия,Martinez,1967,Бишкек,АО Техно,51228,Среднее специальное,нету
Данияр,Эргешов,2006,Каракол,Банк,41982,Среднее,нету
Sophia,Жолдошев,1956,Жалал-Абад,Медцентр,42140,Среднее специальное,нету
Гульзат,Козлов,1994,Москва,Компания А,81666,Магистр,нету
Ксения,Абдыкадыров,1996,Ереван,Банк,73611,Бакалавр,нету
Николай,Молдокулов,2001,Баку,Нет места работы,67803,Магистр,нету
Гульзат,Петров,2008,Токтогул,нет места работы,0,Бакалавр,нету
James,Chen,1973,Кант,MegaCorp,45735,Неполное высшее,нету
Sophia,Курманалиев,1977,Талас,Нет места работы,43824,Среднее,нету
Каныкей,Соколов,1987,Мехико,Фабрика,51833,Бакалавр,нету
Виктор,Лебедев,1954,Нью-Йорк,ООО Строй,36633,Среднее специальное,нету
Сергей,Морозов,1968,Мадрид,АО Техно,38954,Неполное высшее,нету
Hiroshi,Лебедев,1989,Лондон,Фабрика,52199,Среднее специальное,нету
Чыңгыз,Карабаев,2006,Кант,Нет места работы,23339,Среднее,есть
Дмитрий,Токтосунов,1992,Кант,Global Tech,83834,Магистр,нету
Азамат,Li,1996,Санкт-Петербург,MegaCorp,38468,Среднее,нету
Юлия,Бектуров,1990,Новосибирск,Ферма,37748,Среднее,нету
Ahmed,Кадыров,1950,Нарын,ГК Ромашка,118486,Доктор,нету
Элина,Байгазиев,1962,Берлин,ТранспортСервис,43337,Бакалавр,есть
Дмитрий,Карабаев,1970,Токтогул,ИП Сидоров,29834,Неполное высшее,есть
Айбек,Морозов,1995,Берлин,Ресторан,47283,Неполное высшее,нету
Анна,Попов,1969,Стамбул,Университет,72627,Магистр,нету
Павел,Беляев,1986,Жалал-Абад,IT Studio,97589,Доктор,нету
James,Бектуров,1986,Стамбул,Банк,68296,Магистр,нету
Айгерим,Соколов,2009,Кызыл-Кыя,нет места работы,0,Среднее,нету
Егор,Васильев,1970,Сеул,Фабрика,49045,Среднее специальное,нету
Владимир,Rahman,1998,Нью-Йорк,Фабрика,73828,Бакалавр,нету
Айнура,Wang,1979,Бишкек,Компания А,85524,Магистр,нету
Carlos,Мамытов,1991,Кызыл-Кыя,IT Studio,77178,Магистр,нету
Hassan,Lopez,1942,Лондон,Нет места работы,103275,Доктор,нету
Айбек,Ali,2000,Мехико,Фабрика,46943,Неполное высшее,нету
Бегимай,Семенов,1952,Сеул,MegaCorp,45725,Среднее специальное,нету
Айгерим,Jackson,1995,Токио,АО Техно,47767,Среднее специальное,нету
Ольга,Гусев,1964,Мадрид,Компания А,45814,Среднее специальное,нету
Дарья,Семенов,1997,Новосибирск,Школа №1,76333,Магистр,нету
Чыңгыз,Taylor,1997,Москва,Салон Красоты,45472,Бакалавр,есть
Валерия,Taylor,2002,Ош,Нет места работы,75055,Бакалавр,нету
Наталья,Нурматов,1944,Санкт-Петербург,АО Техно,64947,Магистр,нету
Каныкей,Сидоров,1950,Санкт-Петербург,АО Техно,46883,Среднее специальное,нету
Hiroshi,Асанов,1998,Токио,Ферма,41182,Неполное высшее,нету
Жаныбек,Patel,1974,Санкт-Петербург,Нет места работы,39604,Неполное высшее,нету
Robert,Егоров,1970,Пекин,Компания А,33873,Неполное высшее,нету
Emma,Ниязов,1967,Стамбул,Нет места работы,32068,Среднее,нету
Юлия,Garcia,1989,Тбилиси,АО Техно,48364,Неполное высшее,нету
Isabella,Rahman,1974,Пекин,Салон Красоты,84552,Магистр,нету
Дмитрий,Абдрахманов,1992,Мехико,Нет места работы,46820,Среднее специальное,нету
Fatima,Thomas,1979,Кант,IT Studio,39365,Среднее специальное,нету
Каныкей,Попов,1947,Алматы,ТранспортСервис,57037,Бакалавр,нету
Mehmet,Martin,2007,Кант,IT Studio,38230,Среднее,нету
Егор,Семенов,1989,Чолпон-Ата,Нет места работы,84147,Магистр,нету
Мээрим,Киселев,1984,Ош,Нет места работы,37746,Среднее,нету
Ali,Nguyen,1958,Чолпон-Ата,Нет места работы,31109,Среднее,нету
Валерия,Карабаев,1942,Каракол,Банк,46545,Неполное высшее,нету
David,Ali,1962,Стамбул,Школа №1,53792,Бакалавр,нету
Нурзат,Ali,1985,Мехико,Банк,65497,Бакалавр,нету
Айнура,Taylor,1973,Ош,MegaCorp,40734,Неполное высшее,нету
Анна,Курманалиев,1995,Мехико,Медцентр,36499,Среднее специальное,нету
Артур,Сафонов,1947,Санкт-Петербург,Салон Красоты,67293,Бакалавр,нету
Айбек,Федоров,1967,Тбилиси,Ферма,81795,Магистр,нету
Чыңгыз,Бектуров,1960,Астана,Нет места работы,40124,Среднее специальное,нету
Juan,Асанов,1946,Нью-Йорк,Университет,40935,Неполное высшее,нету
Татьяна,Соколов,1998,Тбилиси,АО Техно,31263,Неполное высшее,есть
Нурия,Байгазиев,1965,Талас,IT Studio,47488,Среднее специальное,нету
Liu,Исаев,1999,Каракол,Нет места работы,46023,Среднее специальное,нету
Эрмек,Nguyen,2007,Тбилиси,Банк,85647,Магистр,нету
David,Jackson,1961,Астана,Ресторан,51621,Среднее специальное,нету
Ольга,Лебедев,1977,Бишкек,Банк,46152,Среднее специальное,нету
Нурзат,Султанов,1963,Пекин,ООО Строй,53404,Бакалавр,нету
Liu,Лебедев,1958,Бишкек,Школа №1,40703,Неполное высшее,нету
Марина,Hernandez,1948,Каракол,ООО Строй,62681,Бакалавр,нету
Станислав,Anderson,1986,Екатеринбург,ООО Строй,49604,Среднее специальное,нету
Асель,Кузнецов,1950,Тбилиси,ИП Сидоров,33936,Неполное высшее,нету
Наталья,Асанов,2005,Жалал-Абад,ИП Сидоров,49811,Среднее специальное,нету
Ali,Козлов,1945,Нью-Йорк,Университет,39628,Бакалавр,есть
Артур,Васильев,1997,Санкт-Петербург,ООО Строй,25283,Среднее специальное,есть
Марина,Jackson,1967,Екатеринбург,АО Техно,34771,Неполное высшее,нету
Алексей,Зайцев,1977,Тбилиси,MegaCorp,38974,Среднее,нету
Владимир,Беляев,1973,Бишкек,Ресторан,99887,Доктор,нету
William,Johnson,1946,Талас,Фабрика,68246,Магистр,нету
Carlos,Попов,1975,Пекин,Школа №1,34070,Среднее специальное,есть
Николай,Жолдошев,1983,Ош,ИП Сидоров,40270,Среднее,нету
Lucas,Асанов,1992,Ош,Ферма,84032,Магистр,нету
Улан,Lopez,2002,Ереван,Global Tech,32724,Среднее специальное,есть
Нурия,Калмурзаев,1959,Москва,Банк,27979,Среднее специальное,есть
Бакыт,Козлов,1989,Тбилиси,Салон Красоты,82826,Магистр,нету
Omar,Ниязов,1973,Мадрид,Нет места работы,31764,Среднее,нету
Наталья,Жолдошев,1952,Казань,Нет места работы,31284,Среднее,нету
Mehmet,Кадыров,1985,Мехико,MegaCorp,42500,Среднее специальное,нету
Гульзат,Попов,1973,Кант,Фабрика,69728,Бакалавр,нету
Бакыт,Ершов,1991,Алматы,ТранспортСервис,46930,Бакалавр,есть
Егор,Кадыров,1955,Кызыл-Кыя,Банк,42996,Среднее специальное,нету
Айбек,Jackson,1945,Жалал-Абад,Global Tech,22015,Среднее,есть
Светлана,Иванов,1996,Казань,АО Техно,41591,Бакалавр,есть
Максим,Курманалиев,1968,Новосибирск,ООО Строй,46138,Среднее специальное,нету
Fatima,Smith,1992,Нью-Йорк,Университет,26993,Среднее,есть
Гульзат,Смирнов,1943,Токио,Университет,28319,Среднее специальное,есть
Наталья,Li,1940,Бишкек,Банк,75642,Магистр,нету
Сезим,Сатыбалдиев,1998,Новосибирск,Нет места работы,41570,Среднее,нету
David,Anderson,2002,Каракол,Банк,65033,Бакалавр,нету
Софья,Жолдошев,1955,Кант,Медцентр,35201,Неполное высшее,нету
Владимир,White,1962,Нью-Йорк,Салон Красоты,52204,Среднее специальное,нету
Fatima,Шаршеев,1946,Мадрид,АО Техно,41887,Среднее специальное,нету
Noah,Нурматов,1976,Париж,MegaCorp,52802,Среднее специальное,нету
Carlos,Кузнецов,1951,Талас,Медцентр,53076,Бакалавр,нету
Валерия,Taylor,1952,Нью-Йорк,Нет места работы,35294,Среднее,нету
Николай,Новиков,1991,Сеул,Ресторан,69040,Бакалавр,нету
Aisha,Козлов,1968,Мадрид,ГК Ромашка,41425,Среднее специальное,нету
John,Jackson,1988,Стамбул,GreenFarm,35979,Среднее,нету
Бегимай,Chen,1990,Мехико,АО Техно,64889,Магистр,нету
Каныкей,Исаев,1988,Астана,Медцентр,39047,Среднее специальное,нету
Улан,Сатыбалдиев,1945,Токио,Нет места работы,46451,Среднее специальное,нету
Дмитрий,Jackson,1999,Пекин,MegaCorp,41299,Неполное высшее,нету
Анна,Li,1965,Лондон,АО Техно,79459,Магистр,нету
David,Абдыкадыров,1981,Баку,ООО Строй,46867,Неполное высшее,нету
Emma,Сафонов,1943,Стамбул,Компания А,42101,Среднее,нету
James,Иванов,2008,Ереван,нет места работы,0,Бакалавр,нету
Mehmet,Смирнов,1989,Кант,ТранспортСервис,66747,Бакалавр,нету
Алексей,Бектуров,1976,Екатеринбург,Компания А,82559,Магистр,нету
Нурлан,Козлов,1973,Алматы,Школа №1,32481,Среднее,нету
Aisha,Anderson,1973,Санкт-Петербург,АО Техно,34767,Среднее,нету
Андрей,Гусев,2009,Мехико,нет места работы,0,Доктор,нету
Omar,Кадыров,1978,Алматы,MegaCorp,37910,Неполное высшее,нету
Omar,Карабаев,1943,Казань,Школа №1,36527,Среднее,нету
Бегимай,Султанов,1968,Талас,ТранспортСервис,31246,Среднее,нету
Сезим,Козлов,1954,Чолпон-Ата,Университет,42162,Неполное высшее,нету
Ahmed,Молдокулов,1941,Нью-Йорк,ГК Ромашка,50907,Среднее специальное,нету
Жаныбек,Васильев,2005,Бишкек,Медцентр,36407,Среднее специальное,нету
Алексей,Lopez,1973,Лондон,ТранспортСервис,63020,Магистр,нету
William,Rahman,1967,Чолпон-Ата,Медцентр,83623,Магистр,нету
Нурзат,Singh,1973,Екатеринбург,АО Техно,42391,Неполное высшее,нету
Светлана,Эргешов,1962,Сеул,ТранспортСервис,26832,Неполное высшее,есть
Robert,Попов,1996,Нарын,Ферма,36993,Среднее,нету
Айнура,Васильев,1957,Лондон,ООО Строй,47527,Неполное высшее,нету
Элина,Rahman,1976,Сеул,ТранспортСервис,39847,Среднее,нету
Артур,Соколов,1979,Мадрид,Фабрика,60652,Бакалавр,нету
James,Patel,1955,Санкт-Петербург,ГК Ромашка,43233,Среднее,нету
Нурзат,Сафонов,1953,Баку,Салон Красоты,49276,Среднее специальное,нету
Эрмек,Попов,1956,Чолпон-Ата,ООО Строй,41766,Среднее,нету
Wei,Wang,1970,Токтогул,Компания А,52257,Бакалавр,нету
Светлана,Lopez,1942,Кант,MegaCorp,43244,Среднее,нету
Нурзат,Anderson,2005,Жалал-Абад,Ресторан,36758,Среднее специальное,нету
Владимир,Martin,1980,Алматы,Ферма,61636,Бакалавр,нету
Сергей,Байгазиев,1966,Алматы,Global Tech,28431,Среднее,есть
Юлия,Орлов,1964,Мадрид,Нет места работы,78568,Магистр,нету
Noah,Chen,1961,Жалал-Абад,ТранспортСервис,26106,Среднее специальное,есть
John,Михайлов,1953,Бишкек,Салон Красоты,71984,Бакалавр,нету
Michael,Harris,2007,Мехико,ИП Сидоров,122008,Доктор,нету
Carlos,Ali,1989,Бишкек,Global Tech,39889,Среднее,нету
Yuki,Новиков,1960,Алматы,ТранспортСервис,55772,Бакалавр,нету
Жаныбек,Калмурзаев,1981,Астана,Университет,78225,Магистр,нету
Владимир,Бектуров,1952,Берлин,Университет,51803,Бакалавр,нету
Ирина,Попов,1947,Астана,Нет места работы,42055,Неполное высшее,нету
Бегимай,Курманалиев,1972,Мехико,Фабрика,51249,Среднее специальное,нету
Hiroshi,Исаев,1964,Кант,Университет,51564,Среднее специальное,нету
Татьяна,Абдыкадыров,1947,Талас,Школа №1,24299,Среднее,есть
William,Taylor,1978,Ош,Нет места работы,43462,Неполное высшее,нету
Айнура,Кудрявцев,1943,Астана,Ферма,43580,Среднее специальное,нету
Виктор,Кадыров,1970,Екатеринбург,Global Tech,37708,Среднее,нету
Дмитрий,Бектуров,1950,Москва,ГК Ромашка,57304,Бакалавр,нету
Maria,Орлов,1949,Жалал-Абад,Нет места работы,80291,Магистр,нету
Элина,Михайлов,1974,Алматы,ООО Строй,56368,Бакалавр,нету
Наталья,Lopez,2009,Талас,нет места работы,0,Среднее специальное,нету
Николай,Байгазиев,2001,Новосибирск,Школа №1,33427,Среднее специальное,есть
Maria,Kim,1975,Париж,Нет места работы,64376,Магистр,нету
Maria,White,1977,Новосибирск,Нет места работы,107049,Доктор,нету
Асель,Anderson,1983,Лондон,IT Studio,32337,Среднее,нету
Нурия,Singh,1994,Казань,АО Техно,52887,Среднее специальное,нету
